App starts at Sun Jun 10 16:12:47 2018

Tracking start as 42440 ms
time(ms),x,y,z
42468,-0.136,0.015,0.77
42542,-0.168,0.031,0.768
42577,-0.169,0.03,0.776
42634,-0.17,0.033,0.784
42666,-0.168,0.027,0.785
42697,-0.176,0.036,0.777
42738,-0.158,0.05,0.789
42768,-0.169,0.033,0.778
42804,-0.175,0.032,0.777
42835,-0.164,0.03,0.785
42865,-0.169,0.028,0.775
42899,-0.172,0.033,0.778
42936,-0.171,0.029,0.779
42972,-0.173,0.032,0.78
43001,-0.171,0.025,0.777
43032,-0.169,0.029,0.77
43065,-0.174,0.029,0.771
43098,-0.178,0.032,0.779
43134,-0.167,0.039,0.778
43170,-0.181,0.034,0.775
43200,-0.173,0.027,0.778
43235,-0.176,0.027,0.777
43265,-0.175,0.032,0.777
43299,-0.173,0.033,0.771
43340,-0.177,0.036,0.775
43368,-0.173,0.027,0.778
43398,-0.173,0.031,0.778
43434,-0.17,0.027,0.778
43466,-0.181,0.027,0.772
43501,-0.168,0.027,0.77
43545,-0.167,0.026,0.773
43572,-0.168,0.034,0.783
43600,-0.167,0.035,0.771
43630,-0.17,0.031,0.774
43665,-0.175,0.032,0.778
43697,-0.175,0.034,0.781
43732,-0.17,0.025,0.785
43769,-0.171,0.03,0.779
43797,-0.175,0.028,0.779
43832,-0.17,0.02,0.782
43866,-0.168,0.026,0.78
43899,-0.172,0.028,0.778
43933,-0.172,0.023,0.78
43971,-0.168,0.029,0.772
43998,-0.169,0.025,0.787
44030,-0.165,0.031,0.783
44065,-0.168,0.032,0.784
44101,-0.164,0.032,0.777
44131,-0.166,0.016,0.772
44168,-0.172,0.017,0.779
44198,-0.174,0.035,0.777
44228,-0.176,0.023,0.77
44267,-0.173,0.024,0.779
44300,-0.175,0.031,0.781
44332,-0.173,0.029,0.781
44368,-0.17,0.021,0.779
44397,-0.172,0.024,0.777
44433,-0.172,0.033,0.776
44465,-0.171,0.032,0.766
44498,-0.173,0.026,0.785
44532,-0.174,0.028,0.78
44572,-0.173,0.035,0.773
44603,-0.182,0.032,0.779
44630,-0.169,0.031,0.777
44663,-0.172,0.042,0.79
44701,-0.176,0.025,0.78
44736,-0.176,0.031,0.775
44763,-0.161,0.035,0.779
44799,-0.163,0.023,0.777
44830,-0.174,0.02,0.779
44860,-0.178,0.023,0.784
44903,-0.154,0.036,0.777
44933,-0.166,0.032,0.785
44963,-0.171,0.033,0.781
44999,-0.162,0.03,0.777
45030,-0.163,0.035,0.775
45065,-0.177,0.035,0.774
45099,-0.17,0.036,0.779
45130,-0.172,0.025,0.783
45165,-0.169,0.029,0.777
45199,-0.175,0.027,0.776
45230,-0.17,0.023,0.779
45263,-0.177,0.026,0.779
45298,-0.168,0.025,0.771
45332,-0.173,0.026,0.779
45365,-0.17,0.024,0.777
45397,-0.178,0.022,0.784
45430,-0.175,0.032,0.781
45461,-0.174,0.029,0.777
45499,-0.173,0.032,0.784
45536,-0.169,0.025,0.781
45566,-0.167,0.034,0.774
45598,-0.172,0.024,0.776
45628,-0.169,0.026,0.784
45695,-0.175,0.03,0.769
45728,-0.171,0.023,0.785
45756,-0.169,0.028,0.779
45787,-0.169,0.03,0.776
45826,-0.166,0.033,0.788
45862,-0.169,0.026,0.78
45894,-0.176,0.025,0.781
45928,-0.173,0.026,0.783
45959,-0.18,0.022,0.781
45993,-0.17,0.024,0.783
46024,-0.173,0.03,0.774
